"t"	"thtlc"	"el"	"ail"	"rdr"	"vt"	"alpha"	"beta"	"phi"	"theta"	"psi"	"p"	"q"	"r"	"x9"	"x10"	"alt"	"power"	"nz"	"ps"	"ny_r"
3.800000000000000e-01	0.000000000000000e+00	-4.410362740494884e-02	-1.597650684119194e-03	5.606322898667633e-03	5.514521160244275e+02	1.716411694879139e-02	3.594642671949685e-03	7.838190870338666e-01	-1.257618732408115e+00	-7.837764913931498e-01	-3.773195982408575e-05	1.402787863716373e-02	7.048820869970778e-03	3.993944592472437e+01	-4.495412186988156e+01	3.401523922588998e+03	6.154752671664586e+00	3.091146092847064e-02	-5.416024503075001e-05	8.947040188873127e-04
3.900000000000000e-01	0.000000000000000e+00	-4.427651944907064e-02	-1.592666160418872e-03	5.786420899863118e-03	5.517477591710228e+02	1.687505200094228e-02	3.639517923192958e-03	7.833438592590027e-01	-1.257565980278342e+00	-7.832773203212343e-01	-3.005675409416231e-05	1.515712754536985e-02	7.294125423796642e-03	4.105215832750534e+01	-4.613625530205825e+01	3.396252235669585e+03	6.093511862178540e+00	3.092163614311147e-02	-5.607007785168664e-05	9.383807036419809e-04
4.000000000000000e-01	0.000000000000000e+00	-4.442920608145601e-02	-1.586099569064613e-03	5.965226199819007e-03	5.520431110063281e+02	1.659852114601107e-02	3.681795356819933e-03	7.828390084811300e-01	-1.257506890923872e+00	-7.827469244143750e-01	-2.230122058063426e-05	1.628062100204061e-02	7.536675813033549e-03	4.216782902701492e+01	-4.731834441702620e+01	3.390978071893111e+03	6.032880410533385e+00	3.091554392960509e-02	-5.798061122915753e-05	9.826011814463018e-04
4.100000000000000e-01	0.000000000000000e+00	-4.456239870820052e-02	-1.578028721455712e-03	6.142566568055705e-03	5.523381732444248e+02	1.633431252877297e-02	3.721511335005323e-03	7.823047888297470e-01	-1.257441475556349e+00	-7.821855655836700e-01	-1.451159053190377e-05	1.739624867497256e-02	7.776162135466081e-03	4.328645314693050e+01	-4.850038861068373e+01	3.385701434298446e+03	5.972852251542488e+00	3.089468116384142e-02	-5.988882492550186e-05	1.027319032172720e-03
4.200000000000000e-01	0.000000000000000e+00	-4.467680960608566e-02	-1.568532081819324e-03	6.318276508213714e-03	5.526329476759598e+02	1.608220000632484e-02	3.758705066313469e-03	7.817415121960981e-01	-1.257369757484819e+00	-7.815935648438876e-01	-6.755134069931005e-06	1.850203358738258e-02	8.012289146361311e-03	4.440802659568310e+01	-4.968238723055345e+01	3.380422326053866e+03	5.913421380440810e+00	3.086049444040306e-02	-6.179017016258226e-05	1.072487601843809e-03
4.300000000000000e-01	0.000000000000000e+00	-4.477315337635096e-02	-1.557687453767297e-03	6.492197037109416e-03	5.529274361284999e+02	1.584194709196747e-02	3.793417934293084e-03	7.811495307848465e-01	-1.257291769036673e+00	-7.809712878443265e-01	9.295699149792847e-07	1.959610000410909e-02	8.244775779360324e-03	4.553254590649864e+01	-5.086433957561294e+01	3.375140750425714e+03	5.854581850930195e+00	3.081438768179461e-02	-6.368224127719857e-05	1.118060686223532e-03
4.400000000000000e-01	0.000000000000000e+00	-4.485218037215798e-02	-1.545565506812134e-03	6.664173855621464e-03	5.532216404625837e+02	1.561329517150787e-02	3.825695011350631e-03	7.805292624420938e-01	-1.257207558366275e+00	-7.803191749037913e-01	8.591812071691514e-06	2.067666478545028e-02	8.473355664631839e-03	4.666000859762774e+01	-5.204624487726016e+01	3.369856710846543e+03	5.796327780972150e+00	3.075772734702032e-02	-6.556800373042614e-05	1.163992269354825e-03
4.500000000000000e-01	0.000000000000000e+00	-4.491464988020521e-02	-1.532234313667540e-03	6.834058930792654e-03	5.535155625900447e+02	1.539596878913084e-02	3.855584602394948e-03	7.798811894065468e-01	-1.257117187618831e+00	-7.796377321132294e-01	1.626345541412797e-05	2.174208054960988e-02	8.697777656842293e-03	4.779041307850850e+01	-5.322810231782303e+01	3.364570210901770e+03	5.738653350013329e+00	3.069182610562479e-02	-6.744857437180307e-05	1.210236021239251e-03
4.600000000000000e-01	0.000000000000000e+00	-4.496130844697374e-02	-1.517761884772280e-03	7.001711530489681e-03	5.538092044280294e+02	1.518968784864018e-02	3.883136534418343e-03	7.792058235464699e-01	-1.257020725237112e+00	-7.789274958824798e-01	2.396369694265693e-05	2.279081124380179e-02	8.917805163310456e-03	4.892375824801851e+01	-5.440991104501706e+01	3.359281254253879e+03	5.681552792899794e+00	3.061794505513556e-02	-6.932424602208176e-05	1.256746155399968e-03
4.700000000000000e-01	0.000000000000000e+00	-4.499288986121596e-02	-1.502216169251391e-03	7.166998224076075e-03	5.541025678989138e+02	1.499416762849196e-02	3.908402154253753e-03	7.785037063099366e-01	-1.256918245951298e+00	-7.781890328932777e-01	3.169912720080076e-05	2.382143208720401e-02	9.133216142849336e-03	5.006004349394416e+01	-5.559167017195755e+01	3.353989844642316e+03	5.625020399869546e+00	3.053729373178996e-02	-7.119449249350741e-05	1.303477430385951e-03
4.800000000000000e-01	0.000000000000000e+00	-4.501011515395558e-02	-1.485665054916188e-03	7.329792882412226e-03	5.543956549303050e+02	1.480911878179446e-02	3.931434328574746e-03	7.777754087248296e-01	-1.256809830778968e+00	-7.774229400992546e-01	3.946373027523563e-05	2.483262957095857e-02	9.343803105766173e-03	5.119926869298069e+01	-5.677337877715959e+01	3.348695985883492e+03	5.569050516552521e+00	3.045103011053511e-02	-7.305796858981797e-05	1.350385149771987e-03
4.900000000000000e-01	0.000000000000000e+00	-4.501369259848765e-02	-1.468176368264263e-03	7.489976677855369e-03	5.546884674550406e+02	1.463424733630823e-02	3.952287443895521e-03	7.770215313988413e-01	-1.256695567025109e+00	-7.766298447259382e-01	4.723888379579203e-05	2.582320145817162e-02	9.549373113862438e-03	5.234143421073215e+01	-5.795503590453804e+01	3.343399681870778e+03	5.513637543970593e+00	3.036026060502794e-02	-7.491251010624430e-05	1.397425162158684e-03
